,t_manu,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,t_conf_atr
331,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
332,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
333,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
334,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
335,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
336,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
337,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
338,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
339,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
340,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
341,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
342,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
343,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
344,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
345,GE Wind,GE1.5-77,1500.0,80.0,77.0,4656.63,118.6,3
